분,신,종목명,현재가,대비,,등락률,거래량,종목코드
신,,현대모비스,"474,500",▲,"23,500","5.21","859,286",'012330
신,,현대차3우B,"287,500",▲,"10,000","3.60","60,312",'005389
신,,DB하이텍,"88,200",▲,"3,500","4.13","500,861",'000990
신,,KB금융,"133,300",▲,"200","0.15","458,649",'105560
신,,HMM,"20,150",▼,"-800","-3.82","1,633,144",'011200
신,,삼성전기우,"124,100",▼,"-100","-0.08","10,807",'009155
신,,LG전자,"104,100",▼,"-900","-0.86","1,291,761",'066570
신,,SK우,"213,000",▼,"-4,000","-1.84","1,780",'03473K
신,,JB금융지주,"23,650",▲,"50","0.21","189,214",'175330
신,,한화오션,"142,300",▼,"-4,800","-3.26","2,247,634",'042660
신,,두산우,"500,000",▼,"-25,000","-4.76","12,378",'000155
신,,금호석유화학우,"69,700",▲,"300","0.43","5,732",'011785
신,,한국금융지주우,"135,600",▼,"-2,200","-1.60","8,354",'071055
신,,삼성물산,"295,500",▼,"-500","-0.17","178,473",'028260
신,,하이트진로홀딩스,"9,510",▼,"-130","-1.35","11,398",'000140
신,,LG,"87,400",▼,"-1,800","-2.02","114,562",'003550
신,,SK하이닉스,"744,500",▲,"1,500","0.20","2,632,244",'000660
신,,삼성화재우,"370,000",▼,"-3,500","-0.94","4,962",'000815
신,,아모레퍼시픽홀딩스우,"11,740",▼,"-250","-2.09","3,458",'002795
신,,하나금융지주,"99,200",▼,"-1,100","-1.10","375,488",'086790
신,,하이브,"362,500",▼,"-7,500","-2.03","312,036",'352820
신,,카카오,"57,200",▼,"-1,800","-3.05","1,598,217",'035720
신,,카카오뱅크,"21,150",▼,"-500","-2.31","528,028",'323410
BLANK|
신,,HD현대일렉트릭,"895,000",▼,"-20,000","-2.19","84,378",'267260
신,,LS ELECTRIC,"505,000",▼,"-20,000","-3.81","145,344",'010120
신,,한국항공우주,"162,600",▼,"-3,100","-1.87","741,827",'047810
신,,에스엠,"109,300",▼,"-4,100","-3.62","130,232",'041510
신,,한화에어로스페이스,"1,288,000",▼,"-21,000","-1.60","191,360",'012450
,,한화시스템,"88,300",▼,"-2,200","-2.43","2,563,247",'272210
신,,실리콘투,"44,950",▲,"1,250","2.86","2,077,236",'257720
신,,두산에너빌리티,"91,900",▼,"-3,400","-3.57","8,067,276",'034020
신,,우리기술투자,"7,170",▼,"-370","-4.91","1,028,738",'041190
신,,신한지주,"81,000",▼,"-900","-1.10","576,187",'055550
신,,우리금융지주,"28,650",▲,"250","0.88","1,058,277",'316140
신,,삼성증권,"81,300",▼,"-1,500","-1.81","193,344",'016360
신,,한양증권,"18,460",▼,"-310","-1.65","23,433",'001750
열,,SK증권우,"2,385",▼,"-20","-0.83","1,723",'001515
신,,교보증권,"10,230",▼,"-50","-0.49","131,958",'030610
신,,키움증권,"312,000",▼,"-8,500","-2.65","45,948",'039490
신,,영원무역,"85,300",▲,"2,300","2.77","24,715",'111770
신,,롯데칠성우,"77,400",▼,"-1,600","-2.03","2,178",'005305
증,,CJ씨푸드1우,"15,320",▲,"290","1.93","604",'011155
신,,S-Oil우,"49,550",▼,"-350","-0.70","9,855",'010955
신,,한미반도체,"167,800",▼,"-4,300","-2.50","776,031",'042700
신,,삼성에스디에스,"176,100",▼,"-3,700","-2.06","122,857",'018260
신,,JYP Ent.,"67,200",▼,"-2,300","-3.31","357,734",'035900
신,,기아,"170,400",▲,"6,500","3.97","3,258,082",'000270
신,,HD현대,"255,500",▼,"-4,000","-1.54","333,252",'267250
신,,HD현대중공업,"625,000",▼,"-16,000","-2.50","143,579",'329180
신,,HD한국조선해양,"428,500",▼,"-14,500","-3.27","125,008",'009540
신,,삼성중공업,"30,500",▼,"-350","-1.13","6,748,309",'010140
신,,삼성바이오로직스,"1,891,000",▼,"-29,000","-1.51","28,382",'207940
신,,셀트리온,"202,500",▼,"-4,500","-2.17","441,929",'068270
신,,셀트리온제약,"60,000",▼,"-1,400","-2.28","106,464",'068760
증,,SAMG엔터,"35,150",▼,"-2,300","-6.14","114,893",'419530
신,,SOOP,"64,500",▼,"-1,000","-1.53","25,633",'067160
신,,SK텔레콤,"60,800",▼,"-1,400","-2.25","1,122,526",'017670
신,,한국전력,"67,800",▲,"2,400","3.67","16,523,366",'015760
신,,한진중공업홀딩스,"4,720",▼,"-150","-3.08","36,149",'003480
신,,DB,"1,545",▼,"-11","-0.71","203,751",'012030
신,,DB손해보험,"127,500",▼,"-1,400","-1.09","68,467",'005830
신,,DB증권,"11,360",▼,"-80","-0.70","59,672",'016610
신,,SKC,"108,400",▼,"-3,500","-3.13","206,878",'011790
신,,두산로보틱스,"120,900",▲,"2,800","2.37","4,746,433",'454910
신,,대한해운,"1,845",▼,"-75","-3.91","1,908,084",'005880
신,,대한조선,"67,700",▼,"-2,700","-3.84","138,475",'439260
신,,LIG넥스원,"535,000",▼,"-15,000","-2.73","96,469",'079550
신,,파마리서치,"419,500",▼,"-5,000","-1.18","134,966",'214450
신,,SFA반도체,"5,180",▼,"-70","-1.33","1,563,882",'036540
신,,세방전지,"62,100",▼,"-1,200","-1.90","25,425",'004490
신,,유한양행우,"92,700",▼,"-3,300","-3.44","3,791",'000105
신,,제룡전기,"39,800",▼,"-1,200","-2.93","506,735",'033100
