date,매매,분류,code,종목명,PER,PBR,ROE,현재가,연중최고가,연중최저가
2025/11/27/23:43,매수,외국인지분율상승,6405,삼성SDI우,,,,-176200,201500,-96600
2025/11/27/23:43,매수,외국인지분율상승,7340,DN오토모티브,4.49,0.8,19.8,24150,31600,-18230
2025/11/27/23:43,매수,외국인지분율상승,7860,서연,1.64,0.27,18.3,9340,12470,-6300
2025/11/27/23:43,매수,외국인지분율상승,69730,DSR제강,,0.31,-15.7,3600,4145,-3270
2025/11/27/23:43,매수,외국인지분율상승,78160,메디포스트,,2.68,-22.2,17940,18350,-7490
2025/11/27/23:43,매수,외국인지분율상승,90460,비에이치,9.41,0.81,9.9,18300,19790,-11030
2025/11/27/23:43,매수,외국인지분율상승,137950,제이씨케미칼,12.1,0.44,3.7,3300,4490,-3060
2025/11/27/23:43,매수,외국인지분율상승,179290,엠아이텍,11.48,1.93,18.1,6490,9520,-6000
2025/11/27/23:43,매수,외국인지분율상승,192090,TIGER 차이나CSI300,,,,-12585,13080,-9085
2025/11/27/23:43,매수,외국인지분율상승,350520,이지스레지던스리츠,42.36,0.47,1.1,3990,4315,-3765
2025/11/27/23:43,매수,외국인지분율상승,358570,지아이이노베이션,,32.94,-116.7,17890,24900,-8620
2025/11/27/23:43,매수,외국인지분율상승,388610,지에프씨생명과학,,5.87,-122.2,14790,40000,-12500
2025/11/27/23:43,매수,외국인지분율상승,397810,애드포러스,12.86,1.97,16.8,7770,17800,-7160
2025/11/27/23:43,매수,외국인지분율상승,900100,애머릿지,,0.55,-37.9,520,1450,-495
2025/11/27/23:48,매수,외국인순매수,900290,GRT,3.01,0.26,8.9,2730,5620,-2495
2025/11/27/23:48,매수,외국인순매수,20,동화약품,31.03,0.46,1.5,6180,7140,-5600
2025/11/27/23:48,매수,외국인순매수,40,KR모터스,,0.91,-42.8,492,841,-350
2025/11/27/23:48,매수,외국인순매수,140,하이트진로홀딩스,5.34,0.36,8.1,-10020,12850,-8150
2025/11/27/23:48,매수,외국인순매수,150,두산,,11.44,-14.6,890000,1082000,-236500
2025/11/27/23:48,매수,외국인순매수,3490,대한항공,6.11,0.77,13.2,21800,26750,-19990
2025/11/27/23:48,매수,외국인순매수,36460,한국가스공사,3.36,0.35,11.2,41800,49350,-29600
2025/11/27/23:48,매수,외국인순매수,65530,와이어블,24.93,0.87,4.0,1411,1665,-1115
2025/11/27/23:48,매수,외국인순매수,122450,KX,2.09,0.39,27.1,3815,5620,-2780
2025/11/27/23:48,매수,외국인순매수,381180,TIGER 미국필라델피아반도체나스닥,,,,26580,27615,-12885
2025/11/27/23:48,매수,외국인순매수,390390,KODEX 미국반도체,,,,34750,36170,-16860
2025/11/27/23:49,매수,가치주,9900,명신산업,3.45,0.64,21.0,8480,11670,-7110
2025/11/27/23:49,매수,가치주,69730,DSR제강,,0.31,-15.7,3600,4145,-3270
2025/11/27/23:49,매수,가치주,126720,수산인더스트리,7.54,0.57,7.8,-20750,30350,-17170
2025/11/27/23:49,매수,중소형저평가우량주,900290,GRT,3.01,0.26,8.9,2730,5620,-2495
2025/11/27/23:49,매수,중소형저평가우량주,67280,멀티캠퍼스,6.14,0.88,15.2,-32200,37000,-28050
2025/11/27/23:49,매수,중소형저평가우량주,69730,DSR제강,,0.31,-15.7,3600,4145,-3270
2025/11/27/23:49,매수,대형저평가우량주,7340,DN오토모티브,4.49,0.8,19.8,24150,31600,-18230
2025/11/27/23:49,매수,대형저평가우량주,16380,KG스틸,4.03,0.27,6.9,5370,7150,-5100
2025/11/27/23:49,매수,대형저평가우량주,145720,덴티움,7.7,0.98,14.3,-50600,85500,-48650
2025/11/27/23:49,매수,대형저평가우량주,222080,씨아이에스,8.82,1.11,15.2,6880,8860,-6240
2025/11/27/23:49,매수,실적호전주,30200,KT,27.24,0.77,2.9,50400,59200,-43550
2025/11/27/23:49,매수,실적호전주,37030,파워넷,3.26,0.5,16.4,2615,3615,-1927
2025/11/27/23:49,매수,실적호전주,98070,한텍,11.49,2.71,26.2,34250,55000,-23650
2025/11/27/23:49,매수,실적호전주,307930,컴퍼니케이,42.11,1.18,2.9,-5640,9190,-4635
2025/11/27/23:49,매수,실적호전주,322000,HD현대에너지솔루션,5313.73,1.64,0.0,54200,77600,-19820
2025/11/27/23:49,매수,실적호전주,473980,노머스,21.68,2.77,15.8,22150,38000,-16830
2025/11/27/23:50,매수,성장주,7340,DN오토모티브,4.49,0.8,19.8,24150,31600,-18230
2025/11/27/23:50,매수,성장주,48870,시너지이노베이션,19.18,1.09,5.8,2405,4640,-2315
2025/11/27/23:50,매수,성장주,483650,달바글로벌,90.62,14.52,26.2,129300,247500,-104600
2025/11/27/23:50,매수,수익성이좋은기업,348210,넥스틴,17.69,4.09,27.0,65600,67900,-40750
2025/11/27/23:50,매수,수익성이좋은기업,457370,한켐,8.62,1.07,15.2,7370,11100,-7070
2025/11/27/23:50,매수,시총대비영업이익30%이상,2880,대유에이텍,9.38,1.1,12.8,-1040,1530,-863
2025/11/27/23:50,매수,시총대비영업이익30%이상,19540,일지테크,2.41,0.36,16.5,-4020,4700,-3425
2025/11/27/23:50,매수,시총대비영업이익30%이상,36460,한국가스공사,3.36,0.35,11.2,41800,49350,-29600
2025/12/02/00:59,매수,외국인지분율상승,900260,로스웰,1.92,0.13,7.4,925,1286,-477
2025/12/02/00:59,매수,외국인지분율상승,440,중앙에너비스,,1.57,-1.7,16110,26250,-12210
2025/12/02/00:59,매수,외국인지분율상승,2630,오리엔트바이오,,1.04,-16.8,630,2560,-521
2025/12/02/00:59,매수,외국인지분율상승,2760,보락,,1.34,-3.2,1042,1218,-985
2025/12/02/00:59,매수,외국인지분율상승,3830,대한화섬,,0.22,-0.4,-117500,151000,-102600
2025/12/02/00:59,매수,외국인지분율상승,4000,롯데정밀화학,31.95,0.49,1.5,-45050,50300,-30250
2025/12/02/00:59,매수,외국인지분율상승,5300,롯데칠성,20.48,0.81,4.0,120400,143100,-99500
2025/12/02/00:59,매수,외국인지분율상승,6405,삼성SDI우,,,,178700,201500,-96600
2025/12/02/00:59,매수,외국인지분율상승,8930,한미사이언스,44.82,3.1,7.3,-38700,52800,-24250
2025/12/02/00:59,매수,외국인지분율상승,12170,아센디오,,0.95,-32.6,1789,5190,-205
