date,news,target
09/29/2025:09/29/2025,"승일, +3.26% 상승폭 확대 - 조선비즈 승일, +3.26% 상승폭 확대 삼양케이씨아이036670, 승일049830, 현대바이오랜드052260, 대봉엘에스078140, 한국콜마161890, 펌텍코리아251970, 엔에프씨265740,...",1
미상,원익 -7.66% VI 발동 - 조선비즈 원익032940이 VI가 발동했다 전일 대비 7.66% 하락한 5910원에 거래되고 있다 원익 연관 테마  아모레G002790 리더스코스메틱016100 브이티018290,0
08/22/2025:08/24/2025,"샤페론, +12.59% 상승폭 확대 - 조선비즈 샤페론, +12.59% 상승폭 확대 유한양행000100, 현대약품004310, 삼진제약005500, 진양제약007370, 네이처셀007390, 고려제약014570, 일진홀딩스015860, 환인제약016580...",1
0/30/2025:10/30/2025,"특징주, 대한전선-전선 테마 상승세에 13.54%   31일 전선 테마가 전일 대비 3.30% 상승하면서 강세를 보이는 가운데 관련주로 주목받고 있는 대한전선 001440 이 전일 대비 13.54% 상승하며 급등하고 있다.",1
미상, 업앤다운 게임주 상승 카카오게임즈  플레이위드  19일 코스피 +1.21% 와 코스닥 +0.26% 이 모두 상승한 가운데 게임주 +1.62% 도 상승했다. 상승주는 9개였고 하락주는  20개였다.오늘 게임주 중에서는 카카오게임즈의...,1
01/15/2026:01/15/2026, 서울데이터랩  계양전기우  29.94% 상한가 실시간 상승률 1위 7일 오후 3시 35분 계양전기우 012205 가 등락률 +30.00%로 상승률 1위로 마감했다. 계양전기우는 장 중 394133주가 거래되었으며 주가는 공모가 대비...1주 전,0
미상,특징주 화장품주 K-뷰티 열풍에 강세 한눈에 보는 오늘  경제 - 뉴스  이투데이/손민지 기자국내 화장품주가 강세다14일 오전 9시 34분 기준 스킨앤스킨은 전  거래일보다 2998%244원 오른 1058원에,1
08/01/2025:08/03/2025,"외국계 순매수 수량 상위 20선 - 코스닥 - 조선비즈  뉴스봇  오전 09시 32분 현재 코스닥 시장에서 외국계가 많이 사들이는 종목은 청담글로벌 362320 , 우리기술 032820 , 헝셩그룹 900270 , 오리엔트정공 065500 ,...",0
2/03/2025:12/03/2025,"협진, 앤로보틱스 지분 100% 인수 결정 산업용 설비 제조 전문기업 협진이 공공, 관제분야 서비스 로봇 전문기업 앤로보틱스를 인수한다고 2일 밝혔다. 협진은 앤로보틱스 인수로 앤로보틱스...2일 전",0
/11/2025:11/11/2025,"벡셀1호 투자조합, 오늘이엔엠 지분율 5.54%로 축소  디지털투데이 AI리포터  안테나 제조사 오늘이엔엠이 주요 주주인 벡셀1호 투자조합의 지분율 변동을 11일 공시했다.벡셀1호 투자조합의 오늘이엔엠...3일 전",0
