date,item,news,result
2025-09-01-20-47,심텍,"심텍, 8월 21일 장중 23,100원 거래, 시가 대비 450원 낮은 주가 ",0.91031
2025-09-01-20-47,NHN KCP,"NHN KCP 페이코, 정산부터 소비까지  투트랙  전략  PG사 스테이블코인 전략    ",0.9465268
2025-09-01-20-47,원익IPS,"원익IPS, 중화권 디스플레이 고객사 실적 기여로 주당순이익   리포트 브리핑 원익IPS,  고객사의 투자 재개로 인한 실적 개선세  목표가 39,000원 - KB증권 ",0.9800354
2025-09-01-20-47,제이오," 파워 e종목  제이오, 차세대 프로젝트 내 CNT 도입 확대로 매출  주가 반등? ",0.953467
2025-09-01-20-47,HMM," 산하 공공기관 HMM 동반 이전 동남투자공사 설립 최선  산은, HMM 공개매수 전량 신청 누적 회수 1.6조 기대  시그널  HMM의 자사주 매입, 민영화 돌파구로? 컨테이너 운임값 올랐는데 HMM, 하반기 실적 먹구름 ",0.97806907
2025-09-01-20-47,DB하이텍,"DB하이텍에서 촉발된 김준기 김남호 오너 부자 갈등, 경영권 놓고 법정싸움으로 갈까 DB하이텍, 8인치 라인 이미 풀가동..증설 카드  만지작  50세에 명예회장  DB 김준기 남호   , 법정서 경영권 가리나  자사주는 소각이지 매각 아니다  DB하이텍 소액주주들 집단 반발 ",0.99312043
2025-09-01-20-47,제일기획,"제일기획, 부산국제마케팅광고제서  올해의 네트워크  선정 제일기획, 부산광고제서  올해의 네트워크  선정 제일기획, 부산국제광고제서  올해의 네트워크  선정 제일기획, 부산국제마케팅광고제  그랑프리  등 53개 본상 쾌거 ",0.92549664
2025-09-01-20-47,원익QnC,"원익QnC, 2Q 연결 영업이익 140억...전년비 61%  ",0.9109568
2025-09-01-20-47,SAMG엔터,"애들 티니핑은 가라! SAMG엔터, 에스파 손잡고  키덜트  유혹  엔터코노미  ",0.9785465
2025-09-02-21-48,HD현대미포, HD현대중공업-미포 합병  방산 라이선스 없는 미포 정기선 MRO 구조조정 ,0.9506327
2025-09-02-21-48,삼성전기," MLCC 탑재량 10배 더 늘어난다   삼성전기, 엔비디아  블랙웰  효과에 가동률 최대치로 - 조선비즈  0902시황레이더  삼성전기, T사향 매출 증가 전망 등 삼성전기  체질개선 승부수  적중  MLCC 시장 연 13.52% 성장   올라운더 픽  현대무벡스 삼성전기 ",0.90728956
2025-09-02-21-48,보로노이," 강세 토픽  2025년 임상 예정 제약 바이오 테마, 에이프릴바이오 +10.78%, 보로노이 +5.93% - 조선비즈 ",0.9761341
2025-09-02-21-48,DB손해보험,"보안과 보험 만나다...SK쉴더스-DB손해보험,    해킹 대응 지원 ",0.9610035
2025-09-02-21-48,SK네트웍스,"SK스피드메이트, 출범 1주년 안무인 대표  시장 1위 달성할 것  ",0.9302315
2025-09-02-21-48,SAMG엔터,"애들 티니핑은 가라! SAMG엔터, 에스파 손잡고  키덜트  유혹  엔터코노미  ",0.9780144
2025-09-02-21-48,NHN KCP,"NHN KCP 페이코, 정산부터 소비까지  투트랙  전략  PG사 스테이블코인 전략    ",0.9626843
2025-09-02-21-48,HD현대일렉트릭," 특징주 이삭엔지니어링, 산업부 500kV 초고압 HVDC 변압기술 개발 총력  HD현대일렉과 솔루션 공동개발  부각  ",0.98662674
2025-09-02-21-48,SK이노베이션,"SK이노베이션 울산Complex, 울산대 학생 4명에 장학금 1569만원 ",0.95259196
2025-09-02-21-48,삼성카드," 삼성카드, 추가 배당여력 보유 주주환원 관련주 부상  ",0.90612984
2025-09-02-21-48,HMM,"컨테이너 운임값 올랐는데 HMM, 하반기 실적 먹구름  산하 공공기관 HMM 동반 이전 동남투자공사 설립 최선   톺아보기  HMM 2조원 규모 자사주 매입    민영화  재점화 신호탄될까 HMM, 공적 자금 회수에도 민영화  안갯속  ",0.988909
2025-09-02-21-48,녹십자,"이대목동병원 융합의학연구원, GC녹십자의료재단과 업무협약 체결 GC녹십자의료재단, 이대목동병원 융합의학연구원과 의료기기 사업화 협약 GC녹십자의료재단, 이대목동 융합의학연구원과 업무협약 이대목동병원 융합의학연구원, GC녹십자의료재단과 업무협약 체결 ",0.90986633
2025-09-02-21-48,아이티엠반도체," 리포트 브리핑 아이티엠반도체,  길게 볼수록 좋다  목표가 17,000원 - DB증권 ",0.9202965
2025-09-02-21-48,원익QnC,"원익QnC, 2Q 연결 영업이익 140억...전년비 61%  ",0.9283766
2025-09-02-21-48,DB하이텍,"지속됐던 DB그룹    갈등  결국 수면 위로 - 조선비즈 DB하이텍  자사주 EB  검토 자금조달 카드인가, DB그룹 거버넌스 불씨인가 DB그룹 부자 갈등에 주주가치 뒷전? EB 검토에  자사주 배신  반발 DB그룹, 최대주주 김남호 지배력 퇴색 DB손보 지배력 강화 ",0.94286764
2025-09-04-18-32,SK아이이테크놀로지,"SK이노베이션, 지속가능 가치 창출 위한 친환경 노력 연이어 ",0.96804994
2025-09-04-18-32,제이앤티씨,"제이앤티씨, 밸류업 기대  HDD플래터 TGV유리기판  주목하라 제이앤티씨, HDD TGV 신사업으로 중장기 성장 기대-하나 제이앤티씨의 성장견인 핵심 트리거는  HDD플래터 TGV유리기판 사업   리포트 브리핑 제이앤티씨,  HDD TGV 리레이팅 탐색  지금 점검할 두 개의 시그널  Not Rated - 하나증권 ",0.9152496
