종목코드,종목명
'000250,삼천당제약
'003380,하림지주
'005290,동진쎄미켐
'006730,서부T&D
'007390,네이처셀
'009520,포스코엠텍
'015750,성우하이텍
'018290,브이티
'025320,시노펙스
'025770,한국정보통신
'025900,동화기업
'025980,아난티
'028300,HLB
'030520,한글과컴퓨터
'031980,피에스케이홀딩스
'032190,다우데이타
'032500,케이엠더블유
'033100,제룡전기
'033640,네패스
'034230,파라다이스
'035600,KG이니시스
'035760,CJ ENM
'035900,JYP Ent.
'036540,SFA반도체
'036810,에프에스티
'036830,솔브레인홀딩스
'036930,주성엔지니어링
'039030,이오테크닉스
'039200,오스코텍
'041190,우리기술투자
'041510,에스엠
'043150,바텍
'046890,서울반도체
'048410,현대바이오
'049070,인탑스
'053610,프로텍
'053800,안랩
'056190,에스에프에이
'058470,리노공업
'058610,에스피지
'058970,엠로
'060250,NHN KCP
'060280,큐렉소
'060720,KH바텍
'064550,바이오니아
'064760,티씨케이
'067160,SOOP
'067310,하나마이크론
'067630,HLB생명과학
'068240,다원시스
'068760,셀트리온제약
'074600,원익QnC
'078340,컴투스
'078600,대주전자재료
'080220,제주반도체
'082270,젬백스
'084370,유진테크
'084850,아이티엠반도체
'085660,차바이오텍
'086450,동국제약
'086520,에코프로
'086900,메디톡스
'087010,펩트론
'089030,테크윙
'091120,이엠텍
'091700,파트론
'094360,칩스앤미디어
'095340,ISC
'095500,미래나노텍
'095610,테스
'095660,네오위즈
'096530,씨젠
'098460,고영
'099190,아이센스
'101490,에스앤에스텍
'108860,셀바스AI
'112040,위메이드
'114190,강원에너지
'118990,모트렉스
'119860,커넥트웨이브
'121600,나노신소재
'122870,와이지엔터테인먼트
'131290,티에스이
'131970,두산테스나
'137400,피엔티
'140410,메지온
'140860,파크시스템스
'141080,리가켐바이오
'144510,지씨셀
'145020,휴젤
'166090,하나머티리얼즈
'178320,서진시스템
'179900,유티아이
'183300,코미코
'189300,인텔리안테크
'194480,데브시스터즈
'195940,HK이노엔
'196170,알테오젠
'200130,콜마비앤에이치
'204270,제이앤티씨
'213420,덕산네오룩스
'214150,클래시스
'214370,케어젠
'214450,파마리서치
'215000,골프존
'215200,메가스터디교육
'215600,신라젠
'218410,RFHIC
'222080,씨아이에스
'222800,심텍
'225570,넥슨게임즈
'237690,에스티팜
'240810,원익IPS
'247540,에코프로비엠
'253450,스튜디오드래곤
'257720,실리콘투
'263750,펄어비스
'267980,매일유업
'272290,이녹스첨단소재
'277810,레인보우로보틱스
'278280,천보
'281740,레이크머티리얼즈
'287410,제이시스메디칼
'290650,엘앤씨바이오
'293490,카카오게임즈
'298380,에이비엘바이오
'299030,하나기술
'310210,보로노이
'319660,피에스케이
'323990,박셀바이오
'328130,루닛
'336570,원텍
'348210,넥스틴
'348370,엔켐
'352480,씨앤씨인터내셔널
'357780,솔브레인
'358570,지아이이노베이션
'360070,탑머티리얼
'365340,성일하이텍
'372170,윤성에프앤씨
'376300,디어유
'383310,에코프로에이치엔
'393890,더블유씨피
'394280,오픈엣지테크놀로지
'399720,가온칩스
'403870,HPSP
'417200,LS머트리얼즈
'418550,제이오
'420770,기가비스
'425040,티이엠씨
